Date,Players,Effective,owner,owner_id,transaction_str,player_id,cbsid,parsed_transactions,transaction_type,period,Add,Drop
8/9/25 6:00 PM ET,"('Mitch Keller SP • PIT - Traded from Trouble With The Curve', '/players/playerpage/2167302')",8/11/25,9 Grand Kids,30,Mitch Keller SP • PIT - Traded from Trouble With The Curve,/players/playerpage/2167302,2167302,"[{'Name': 'Mitch Keller', 'Position': 'SP', 'Team': 'PIT', 'Transaction': 'Traded', 'Trade_Partner': 'Trouble With The Curve'}]",Trade,21,,
8/9/25 6:00 PM ET,"('Will Vest RP • DET - Traded from 9 Grand Kids', '/players/playerpage/2837636')",8/11/25,Trouble With The Curve,1,Will Vest RP • DET - Traded from 9 Grand Kids,/players/playerpage/2837636,2837636,"[{'Name': 'Will Vest', 'Position': 'RP', 'Team': 'DET', 'Transaction': 'Traded', 'Trade_Partner': '9 Grand Kids'}]",Trade,21,,
7/17/25 10:43 PM ET,"('Julio Rodriguez OF • SEA - Traded from Dirty Birds Kirby Yates RP • LAA - Traded from Dirty Birds', '/players/playerpage/2825528')",7/14/25,Harveys Wallbangers,4,Julio Rodriguez OF • SEA - Traded from Dirty Birds Kirby Yates RP • LAA - Traded from Dirty Birds,/players/playerpage/2825528,2825528,"[{'Name': 'Julio Rodriguez', 'Position': 'OF', 'Team': 'SEA', 'Transaction': 'Traded', 'Trade_Partner': 'Dirty Birds'}, {'Name': 'Kirby Yates', 'Position': 'RP', 'Team': 'LAA', 'Transaction': 'Traded', 'Trade_Partner': 'Dirty Birds'}]",Trade,17,,
7/17/25 10:43 PM ET,"('Heliot Ramos OF • SF - Traded from Harveys Wallbangers Nick Lodolo SP,RP • CIN - Traded from Harveys Wallbangers', '/players/playerpage/2835071')",7/14/25,Dirty Birds,41,"Heliot Ramos OF • SF - Traded from Harveys Wallbangers Nick Lodolo SP,RP • CIN - Traded from Harveys Wallbangers",/players/playerpage/2835071,2835071,"[{'Name': 'Heliot Ramos', 'Position': 'OF', 'Team': 'SF', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Nick Lodolo', 'Position': 'SP,RP', 'Team': 'CIN', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}]",Trade,17,,
6/28/25 6:50 PM ET,"('Eury Perez SP • MIA - Traded from Lima Time! Christian Yelich OF • MIL - Traded from Lima Time! Sandy Alcantara SP • MIA - Traded from Lima Time!', '/players/playerpage/26912478')",6/30/25,Harveys Wallbangers,4,Eury Perez SP • MIA - Traded from Lima Time! Christian Yelich OF • MIL - Traded from Lima Time! Sandy Alcantara SP • MIA - Traded from Lima Time!,/players/playerpage/26912478,26912478,"[{'Name': 'Eury Perez', 'Position': 'SP', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}, {'Name': 'Christian Yelich', 'Position': 'OF', 'Team': 'MIL', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}, {'Name': 'Sandy Alcantara', 'Position': 'SP', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}]",Trade,15,,
6/28/25 6:50 PM ET,"('Tommy Kahnle RP • DET - Traded from Harveys Wallbangers Xavier Edwards 2B,SS • MIA - Traded from Harveys Wallbangers Max Fried SP • NYY - Traded from Harveys Wallbangers', '/players/playerpage/2040766')",6/30/25,Lima Time!,38,"Tommy Kahnle RP • DET - Traded from Harveys Wallbangers Xavier Edwards 2B,SS • MIA - Traded from Harveys Wallbangers Max Fried SP • NYY - Traded from Harveys Wallbangers",/players/playerpage/2040766,2040766,"[{'Name': 'Tommy Kahnle', 'Position': 'RP', 'Team': 'DET', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Xavier Edwards', 'Position': '2B,SS', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Max Fried', 'Position': 'SP', 'Team': 'NYY', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}]",Trade,15,,
6/25/25 4:43 PM ET,"('Paul Skenes SP • PIT - Traded from Ugly Spuds Jarren Duran OF • BOS - Traded from Ugly Spuds', '/players/playerpage/29153541')",6/30/25,Lil Trumps Wiscompton Wu-Tang,42,Paul Skenes SP • PIT - Traded from Ugly Spuds Jarren Duran OF • BOS - Traded from Ugly Spuds,/players/playerpage/29153541,29153541,"[{'Name': 'Paul Skenes', 'Position': 'SP', 'Team': 'PIT', 'Transaction': 'Traded', 'Trade_Partner': 'Ugly Spuds'}, {'Name': 'Jarren Duran', 'Position': 'OF', 'Team': 'BOS', 'Transaction': 'Traded', 'Trade_Partner': 'Ugly Spuds'}]",Trade,15,,
6/25/25 4:43 PM ET,"('Hunter Goodman C • COL - Traded from Lil Trumps Wiscompton Wu-Tang Freddie Freeman 1B • LAD - Traded from Lil Trumps Wiscompton Wu-Tang', '/players/playerpage/26911639')",6/30/25,Ugly Spuds,29,Hunter Goodman C • COL - Traded from Lil Trumps Wiscompton Wu-Tang Freddie Freeman 1B • LAD - Traded from Lil Trumps Wiscompton Wu-Tang,/players/playerpage/26911639,26911639,"[{'Name': 'Hunter Goodman', 'Position': 'C', 'Team': 'COL', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}, {'Name': 'Freddie Freeman', 'Position': '1B', 'Team': 'LAD', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}]",Trade,15,,
6/23/25 6:34 AM ET,"('Reese Olson SP • DET - Traded from Charmer', '/players/playerpage/2932983')",6/23/25,Lil Trumps Wiscompton Wu-Tang,42,Reese Olson SP • DET - Traded from Charmer,/players/playerpage/2932983,2932983,"[{'Name': 'Reese Olson', 'Position': 'SP', 'Team': 'DET', 'Transaction': 'Traded', 'Trade_Partner': 'Charmer'}]",Trade,14,,
6/23/25 6:34 AM ET,"('Noelvi Marte 3B,OF • CIN - Traded from Lil Trumps Wiscompton Wu-Tang Royce Lewis 3B • MIN - Traded from Lil Trumps Wiscompton Wu-Tang', '/players/playerpage/3077711')",6/23/25,Charmer,36,"Noelvi Marte 3B,OF • CIN - Traded from Lil Trumps Wiscompton Wu-Tang Royce Lewis 3B • MIN - Traded from Lil Trumps Wiscompton Wu-Tang",/players/playerpage/3077711,3077711,"[{'Name': 'Noelvi Marte', 'Position': '3B,OF', 'Team': 'CIN', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}, {'Name': 'Royce Lewis', 'Position': '3B', 'Team': 'MIN', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}]",Trade,14,,
5/26/25 7:18 AM ET,"('Blake Snell SP • LAD - Traded from Trouble With The Curve Jazz Chisholm 2B,3B • NYY - Traded from Trouble With The Curve Devin Williams RP • NYM - Traded from Trouble With The Curve', '/players/playerpage/2006996')",5/26/25,Harveys Wallbangers,4,"Blake Snell SP • LAD - Traded from Trouble With The Curve Jazz Chisholm 2B,3B • NYY - Traded from Trouble With The Curve Devin Williams RP • NYM - Traded from Trouble With The Curve",/players/playerpage/2006996,2006996,"[{'Name': 'Blake Snell', 'Position': 'SP', 'Team': 'LAD', 'Transaction': 'Traded', 'Trade_Partner': 'Trouble With The Curve'}, {'Name': 'Jazz Chisholm', 'Position': '2B,3B', 'Team': 'NYY', 'Transaction': 'Traded', 'Trade_Partner': 'Trouble With The Curve'}, {'Name': 'Devin Williams', 'Position': 'RP', 'Team': 'NYM', 'Transaction': 'Traded', 'Trade_Partner': 'Trouble With The Curve'}]",Trade,10,,
5/26/25 7:18 AM ET,"('Ben Rice C,1B • NYY - Traded from Harveys Wallbangers Jack Flaherty SP • DET - Traded from Harveys Wallbangers Tyler Soderstrom 1B,OF • ATH - Traded from Harveys Wallbangers', '/players/playerpage/29086560')",5/26/25,Trouble With The Curve,1,"Ben Rice C,1B • NYY - Traded from Harveys Wallbangers Jack Flaherty SP • DET - Traded from Harveys Wallbangers Tyler Soderstrom 1B,OF • ATH - Traded from Harveys Wallbangers",/players/playerpage/29086560,29086560,"[{'Name': 'Ben Rice', 'Position': 'C,1B', 'Team': 'NYY', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Jack Flaherty', 'Position': 'SP', 'Team': 'DET', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Tyler Soderstrom', 'Position': '1B,OF', 'Team': 'ATH', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}]",Trade,10,,
5/25/25 6:46 PM ET,"('Michael Busch 1B • CHC - Traded from Lil Trumps Wiscompton Wu-Tang', '/players/playerpage/3117931')",5/26/25,Charmer,36,Michael Busch 1B • CHC - Traded from Lil Trumps Wiscompton Wu-Tang,/players/playerpage/3117931,3117931,"[{'Name': 'Michael Busch', 'Position': '1B', 'Team': 'CHC', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}]",Trade,10,,
5/25/25 6:46 PM ET,"('Jeremy Pena SS • HOU - Traded from Charmer', '/players/playerpage/2932999')",5/26/25,Lil Trumps Wiscompton Wu-Tang,42,Jeremy Pena SS • HOU - Traded from Charmer,/players/playerpage/2932999,2932999,"[{'Name': 'Jeremy Pena', 'Position': 'SS', 'Team': 'HOU', 'Transaction': 'Traded', 'Trade_Partner': 'Charmer'}]",Trade,10,,
5/16/25 8:52 AM ET,"(""Jose Ramirez 3B • CLE - Traded from Mom's Cookin Sandy Alcantara SP • MIA - Traded from Mom's Cookin Sean Manaea SP,RP • NYM - Traded from Mom's Cookin Jose Caballero 2B,3B,SS,OF • NYY - Traded from Mom's Cookin"", '/players/playerpage/2044495')",5/19/25,Lima Time!,38,"Jose Ramirez 3B • CLE - Traded from Mom's Cookin Sandy Alcantara SP • MIA - Traded from Mom's Cookin Sean Manaea SP,RP • NYM - Traded from Mom's Cookin Jose Caballero 2B,3B,SS,OF • NYY - Traded from Mom's Cookin",/players/playerpage/2044495,2044495,"[{'Name': 'Jose Ramirez', 'Position': '3B', 'Team': 'CLE', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}, {'Name': 'Sandy Alcantara', 'Position': 'SP', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}, {'Name': 'Sean Manaea', 'Position': 'SP,RP', 'Team': 'NYM', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}, {'Name': 'Jose Caballero', 'Position': '2B,3B,SS,OF', 'Team': 'NYY', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}]",Trade,9,,
5/16/25 8:52 AM ET,"('Seiya Suzuki OF • CHC - Traded from Lima Time! Max Meyer SP • MIA - Traded from Lima Time! Junior Caminero 3B • TB - Traded from Lima Time! Brandon Pfaadt SP • ARI - Traded from Lima Time!', '/players/playerpage/27023012')",5/19/25,Mom's Cookin,47,Seiya Suzuki OF • CHC - Traded from Lima Time! Max Meyer SP • MIA - Traded from Lima Time! Junior Caminero 3B • TB - Traded from Lima Time! Brandon Pfaadt SP • ARI - Traded from Lima Time!,/players/playerpage/27023012,27023012,"[{'Name': 'Seiya Suzuki', 'Position': 'OF', 'Team': 'CHC', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}, {'Name': 'Max Meyer', 'Position': 'SP', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}, {'Name': 'Junior Caminero', 'Position': '3B', 'Team': 'TB', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}, {'Name': 'Brandon Pfaadt', 'Position': 'SP', 'Team': 'ARI', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}]",Trade,9,,
5/10/25 9:49 PM ET,"('Max Muncy 3B • LAD - Traded from Lil Trumps Wiscompton Wu-Tang Xavier Edwards 2B,SS • MIA - Traded from Lil Trumps Wiscompton Wu-Tang', '/players/playerpage/2106304')",5/12/25,Harveys Wallbangers,4,"Max Muncy 3B • LAD - Traded from Lil Trumps Wiscompton Wu-Tang Xavier Edwards 2B,SS • MIA - Traded from Lil Trumps Wiscompton Wu-Tang",/players/playerpage/2106304,2106304,"[{'Name': 'Max Muncy', 'Position': '3B', 'Team': 'LAD', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}, {'Name': 'Xavier Edwards', 'Position': '2B,SS', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}]",Trade,8,,
5/10/25 9:49 PM ET,"('Tony Gonsolin SP • LAD - Traded from Harveys Wallbangers Kyren Paris 2B,OF • LAA - Traded from Harveys Wallbangers', '/players/playerpage/2915614')",5/12/25,Lil Trumps Wiscompton Wu-Tang,42,"Tony Gonsolin SP • LAD - Traded from Harveys Wallbangers Kyren Paris 2B,OF • LAA - Traded from Harveys Wallbangers",/players/playerpage/2915614,2915614,"[{'Name': 'Tony Gonsolin', 'Position': 'SP', 'Team': 'LAD', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Kyren Paris', 'Position': '2B,OF', 'Team': 'LAA', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}]",Trade,8,,
4/12/25 10:01 PM ET,"('Royce Lewis 3B • MIN - Traded from Harveys Wallbangers Max Muncy 3B • LAD - Traded from Harveys Wallbangers Nate Lowe 1B • CIN - Traded from Harveys Wallbangers', '/players/playerpage/2835053')",4/14/25,Lil Trumps Wiscompton Wu-Tang,42,Royce Lewis 3B • MIN - Traded from Harveys Wallbangers Max Muncy 3B • LAD - Traded from Harveys Wallbangers Nate Lowe 1B • CIN - Traded from Harveys Wallbangers,/players/playerpage/2835053,2835053,"[{'Name': 'Royce Lewis', 'Position': '3B', 'Team': 'MIN', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Max Muncy', 'Position': '3B', 'Team': 'LAD', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Nate Lowe', 'Position': '1B', 'Team': 'CIN', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}]",Trade,4,,
4/12/25 10:01 PM ET,"('Joshua Lowe OF • LAA - Traded from Lil Trumps Wiscompton Wu-Tang Liam Hendriks RP • MIN - Traded from Lil Trumps Wiscompton Wu-Tang Brandon Woodruff SP • MIL - Traded from Lil Trumps Wiscompton Wu-Tang', '/players/playerpage/2250598')",4/14/25,Harveys Wallbangers,4,Joshua Lowe OF • LAA - Traded from Lil Trumps Wiscompton Wu-Tang Liam Hendriks RP • MIN - Traded from Lil Trumps Wiscompton Wu-Tang Brandon Woodruff SP • MIL - Traded from Lil Trumps Wiscompton Wu-Tang,/players/playerpage/2250598,2250598,"[{'Name': 'Joshua Lowe', 'Position': 'OF', 'Team': 'LAA', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}, {'Name': 'Liam Hendriks', 'Position': 'RP', 'Team': 'MIN', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}, {'Name': 'Brandon Woodruff', 'Position': 'SP', 'Team': 'MIL', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}]",Trade,4,,
4/9/25 8:20 PM ET,"(""Merrill Kelly SP • ARI - Traded from Mom's Cookin Aaron Nola SP • PHI - Traded from Mom's Cookin"", '/players/playerpage/2050483')",4/14/25,Trouble With The Curve,1,Merrill Kelly SP • ARI - Traded from Mom's Cookin Aaron Nola SP • PHI - Traded from Mom's Cookin,/players/playerpage/2050483,2050483,"[{'Name': 'Merrill Kelly', 'Position': 'SP', 'Team': 'ARI', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}, {'Name': 'Aaron Nola', 'Position': 'SP', 'Team': 'PHI', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}]",Trade,4,,
4/9/25 8:20 PM ET,"('Kris Bubic SP • KC - Traded from Trouble With The Curve Ian Happ OF • CHC - Traded from Trouble With The Curve', '/players/playerpage/2931905')",4/14/25,Mom's Cookin,47,Kris Bubic SP • KC - Traded from Trouble With The Curve Ian Happ OF • CHC - Traded from Trouble With The Curve,/players/playerpage/2931905,2931905,"[{'Name': 'Kris Bubic', 'Position': 'SP', 'Team': 'KC', 'Transaction': 'Traded', 'Trade_Partner': 'Trouble With The Curve'}, {'Name': 'Ian Happ', 'Position': 'OF', 'Team': 'CHC', 'Transaction': 'Traded', 'Trade_Partner': 'Trouble With The Curve'}]",Trade,4,,
3/25/25 6:41 PM ET,"('Nolan Jones OF • CLE - Traded from Brewbirds Dean Kremer SP,RP • BAL - Traded from Brewbirds', '/players/playerpage/2447486')",3/24/25,Mom's Cookin,47,"Nolan Jones OF • CLE - Traded from Brewbirds Dean Kremer SP,RP • BAL - Traded from Brewbirds",/players/playerpage/2447486,2447486,"[{'Name': 'Nolan Jones', 'Position': 'OF', 'Team': 'CLE', 'Transaction': 'Traded', 'Trade_Partner': 'Brewbirds'}, {'Name': 'Dean Kremer', 'Position': 'SP,RP', 'Team': 'BAL', 'Transaction': 'Traded', 'Trade_Partner': 'Brewbirds'}]",Trade,1,,
3/25/25 6:41 PM ET,"(""David Hamilton 2B,SS • MIL - Traded from Mom's Cookin Erick Fedde SP,RP • CHW - Traded from Mom's Cookin"", '/players/playerpage/3158363')",3/24/25,Brewbirds,3,"David Hamilton 2B,SS • MIL - Traded from Mom's Cookin Erick Fedde SP,RP • CHW - Traded from Mom's Cookin",/players/playerpage/3158363,3158363,"[{'Name': 'David Hamilton', 'Position': '2B,SS', 'Team': 'MIL', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}, {'Name': 'Erick Fedde', 'Position': 'SP,RP', 'Team': 'CHW', 'Transaction': 'Traded', 'Trade_Partner': ""Mom's Cookin""}]",Trade,1,,
